data;scontrini;lordototale;ristorante
20180101;21884;765441.8099999999;R000
20180101;28101;1197357.21;R001
20180101;19961;385808.08;R003
20180101;23173;789949.23;R004
20180101;19541;624257.76;R005
20180102;0;0;R000
20180102;0;0;R001
20180102;0;0;R003
20180102;0;0;R004
20180102;0;0;R005
20180103;0;0;R000
20180103;0;0;R001
20180103;0;0;R003
20180103;0;0;R004
20180103;0;0;R005
20180104;0;0;R000
20180104;0;0;R001
20180104;0;0;R003
20180104;0;0;R004
20180104;0;0;R005
20180105;0;0;R000
20180105;0;0;R001
20180105;0;0;R003
20180105;0;0;R004
20180105;0;0;R005
20180106;0;0;R000
20180106;0;0;R001
20180106;0;0;R003
20180106;0;0;R004
20180106;0;0;R005
20180107;0;0;R000
20180107;0;0;R001
20180107;0;0;R003
20180107;0;0;R004
20180107;0;0;R005
20180108;0;0;R000
20180108;0;0;R001
20180108;0;0;R003
20180108;0;0;R004
20180108;0;0;R005
20180109;0;0;R000
20180109;0;0;R001
20180109;0;0;R003
20180109;0;0;R004
20180109;0;0;R005
20180110;0;0;R000
20180110;0;0;R001
20180110;0;0;R003
20180110;0;0;R004
20180110;0;0;R005
20180111;0;0;R000
20180111;0;0;R001
20180111;0;0;R003
20180111;0;0;R004
20180111;0;0;R005
20180112;0;0;R000
20180112;0;0;R001
20180112;0;0;R003
20180112;0;0;R004
20180112;0;0;R005
20180113;0;0;R000
20180113;0;0;R001
20180113;0;0;R003
20180113;0;0;R004
20180113;0;0;R005
20180114;0;0;R000
20180114;0;0;R001
20180114;0;0;R003
20180114;0;0;R004
20180114;0;0;R005
20180115;0;0;R000
20180115;0;0;R001
20180115;0;0;R003
20180115;0;0;R004
20180115;0;0;R005
20180116;0;0;R000
20180116;0;0;R001
20180116;0;0;R003
20180116;0;0;R004
20180116;0;0;R005
20180117;0;0;R000
20180117;0;0;R001
20180117;0;0;R003
20180117;0;0;R004
20180117;0;0;R005
20180118;0;0;R000
20180118;0;0;R001
20180118;0;0;R003
20180118;0;0;R004
20180118;0;0;R005
20180119;0;0;R000
20180119;0;0;R001
20180119;0;0;R003
20180119;0;0;R004
20180119;0;0;R005
20180120;0;0;R000
20180120;0;0;R001
20180120;0;0;R003
20180120;0;0;R004
20180120;0;0;R005
20180121;0;0;R000
20180121;0;0;R001
20180121;0;0;R003
20180121;0;0;R004
20180121;0;0;R005
20180122;0;0;R000
20180122;0;0;R001
20180122;0;0;R003
20180122;0;0;R004
20180122;0;0;R005
20180123;0;0;R000
20180123;0;0;R001
20180123;0;0;R003
20180123;0;0;R004
20180123;0;0;R005
20180124;0;0;R000
20180124;0;0;R001
20180124;0;0;R003
20180124;0;0;R004
