data,S_R1,LT_R1,Anno,Mese,day_of_week
2018-09-01,1276.0,50173.718,2018,9,Saturday
2018-09-02,1070.0,43169.7749,2018,9,Sunday
2018-09-03,657.0,24781.9411,2018,9,Monday
2018-09-04,647.0,25100.7771,2018,9,Tuesday
2018-09-05,635.0,23516.6743,2018,9,Wednesday
2018-09-06,652.0,25286.4206,2018,9,Thursday
2018-09-07,886.0,33740.1176,2018,9,Friday
2018-09-08,1097.0,43120.9583,2018,9,Saturday
2018-09-09,874.0,33189.506,2018,9,Sunday
2018-09-10,627.0,24600.427600000003,2018,9,Monday
2018-09-11,589.0,22109.0051,2018,9,Tuesday
2018-09-12,617.0,24504.4877,2018,9,Wednesday
2018-09-13,576.0,20429.4167,2018,9,Thursday
2018-09-14,803.0,30030.4277,2018,9,Friday
2018-09-15,1308.0,47756.3051,2018,9,Saturday
2018-09-16,835.0,34824.2839,2018,9,Sunday
2018-09-17,521.0,18185.7529,2018,9,Monday
2018-09-18,563.0,19944.4308,2018,9,Tuesday
2018-09-19,548.0,20697.8667,2018,9,Wednesday
2018-09-20,711.0,24180.324,2018,9,Thursday
2018-09-21,778.0,28866.3872,2018,9,Friday
2018-09-22,1174.0,44237.256,2018,9,Saturday
2018-09-23,1009.0,41700.81649999999,2018,9,Sunday
2018-09-24,460.0,14256.553499999998,2018,9,Monday
2018-09-25,502.0,17540.11,2018,9,Tuesday
2018-09-26,470.0,14974.8844,2018,9,Wednesday
2018-09-27,490.0,15685.6987,2018,9,Thursday
2018-09-28,835.0,28288.2698,2018,9,Friday
2018-09-29,1202.0,46114.8779,2018,9,Saturday
2018-09-30,924.0,33820.2396,2018,9,Sunday
2018-10-01,444.0,15523.6375,2018,10,Monday
2018-10-02,486.0,16627.38,2018,10,Tuesday
2018-10-03,454.0,14708.582,2018,10,Wednesday
2018-10-04,427.0,14978.6427,2018,10,Thursday
2018-10-05,770.0,27578.901,2018,10,Friday
2018-10-06,1292.0,46877.2346,2018,10,Saturday
2018-10-07,907.0,36216.5482,2018,10,Sunday
2018-10-08,411.0,14180.768,2018,10,Monday
2018-10-09,406.0,12889.5235,2018,10,Tuesday
2018-10-10,483.0,17163.6605,2018,10,Wednesday
2018-10-11,483.0,17848.2906,2018,10,Thursday
2018-10-12,772.0,28371.861,2018,10,Friday
2018-10-13,1220.0,45786.0473,2018,10,Saturday
2018-10-14,907.0,36393.4774,2018,10,Sunday
2018-10-15,436.0,15452.9732,2018,10,Monday
2018-10-16,398.0,13483.5414,2018,10,Tuesday
2018-10-17,468.0,14795.3946,2018,10,Wednesday
2018-10-18,430.0,14319.4947,2018,10,Thursday
2018-10-19,762.0,28299.6686,2018,10,Friday
2018-10-20,1291.0,47465.222700000006,2018,10,Saturday
2018-10-21,888.0,33582.4342,2018,10,Sunday
2018-10-22,425.0,15426.1695,2018,10,Monday
2018-10-23,404.0,12978.938,2018,10,Tuesday
2018-10-24,462.0,16133.8863,2018,10,Wednesday
2018-10-25,431.0,14780.444,2018,10,Thursday
2018-10-26,654.0,25215.5911,2018,10,Friday
2018-10-27,1227.0,45696.3024,2018,10,Saturday
2018-10-28,108.5,40173.336,2018,10,Sunday
2018-10-29,344.0,11255.6129,2018,10,Monday
2018-10-30,446.0,16006.8888,2018,10,Tuesday
2018-10-31,997.0,37868.9612,2018,10,Wednesday
2018-11-01,952.0,39120.2273,2018,11,Thursday
2018-11-02,863.0,33632.9028,2018,11,Friday
2018-11-03,1364.0,50738.9911,2018,11,Saturday
2018-11-04,972.0,39085.6179,2018,11,Sunday
