data,S_R6,LT_R6,Anno,Mese,day_of_week
2018-09-01,774.0,27423.1587,2018,9,Saturday
2018-09-02,664.0,22980.6829,2018,9,Sunday
2018-09-03,706.0,23780.8704,2018,9,Monday
2018-09-04,644.0,20020.7119,2018,9,Tuesday
2018-09-05,691.0,22211.6769,2018,9,Wednesday
2018-09-06,440.0,14092.9642,2018,9,Thursday
2018-09-07,782.0,25335.2785,2018,9,Friday
2018-09-08,817.0,28377.643,2018,9,Saturday
2018-09-09,657.0,23623.5174,2018,9,Sunday
2018-09-10,918.0,28691.11,2018,9,Monday
2018-09-11,768.0,23962.8795,2018,9,Tuesday
2018-09-12,949.0,32736.1559,2018,9,Wednesday
2018-09-13,748.0,24768.849,2018,9,Thursday
2018-09-14,960.0,30318.8256,2018,9,Friday
2018-09-15,950.0,32362.68,2018,9,Saturday
2018-09-16,680.0,23646.4802,2018,9,Sunday
2018-09-17,667.0,21127.1802,2018,9,Monday
2018-09-18,706.0,21480.3778,2018,9,Tuesday
2018-09-19,752.0,24569.2461,2018,9,Wednesday
2018-09-20,1075.0,29539.0403,2018,9,Thursday
2018-09-21,900.0,26849.543,2018,9,Friday
2018-09-22,912.0,30538.2112,2018,9,Saturday
2018-09-23,604.0,20668.6263,2018,9,Sunday
2018-09-24,639.0,16841.5618,2018,9,Monday
2018-09-25,737.0,18575.7075,2018,9,Tuesday
2018-09-26,723.0,19429.5024,2018,9,Wednesday
2018-09-27,652.0,20457.9137,2018,9,Thursday
2018-09-28,986.0,29044.7206,2018,9,Friday
2018-09-29,915.0,26750.01,2018,9,Saturday
2018-09-30,712.0,21445.5619,2018,9,Sunday
2018-10-01,544.0,15754.6284,2018,10,Monday
2018-10-02,561.0,18146.8483,2018,10,Tuesday
2018-10-03,608.0,16676.1553,2018,10,Wednesday
2018-10-04,647.0,19302.8766,2018,10,Thursday
2018-10-05,849.0,27261.6344,2018,10,Friday
2018-10-06,929.0,32877.0302,2018,10,Saturday
2018-10-07,570.0,19108.4775,2018,10,Sunday
2018-10-08,649.0,20797.1932,2018,10,Monday
2018-10-09,565.0,17181.5847,2018,10,Tuesday
2018-10-10,567.0,18575.5423,2018,10,Wednesday
2018-10-11,535.0,17114.6787,2018,10,Thursday
2018-10-12,852.0,28637.8743,2018,10,Friday
