data,S_R3,LT_R3,Anno,Mese,day_of_week
2019-11-01,1157.0385667388161,45582.706344171405,2019,11,Friday
2019-11-02,1318.1537936507941,56232.22596225741,2019,11,Saturday
2019-11-03,1060.9230104617602,46843.30493169451,2019,11,Sunday
2019-11-04,743.7389754689756,28941.441208762644,2019,11,Monday
2019-11-05,729.6963213083211,26785.5776937135,2019,11,Tuesday
2019-11-06,758.5091044973551,29381.172947902865,2019,11,Wednesday
2019-11-07,818.4526234968736,31433.330359889205,2019,11,Thursday
2019-11-08,1174.0,47231.7538,2019,11,Friday
2019-11-09,1406.0,62987.3321,2019,11,Saturday
2019-11-10,1086.0,52073.6419,2019,11,Sunday
2019-11-11,723.0,28208.6434,2019,11,Monday
2019-11-12,806.0,31971.0321,2019,11,Tuesday
2019-11-13,743.0,29084.6577,2019,11,Wednesday
2019-11-14,785.0,31366.111,2019,11,Thursday
2019-11-15,1115.0,46638.025,2019,11,Friday
2019-11-16,1234.0,55442.0286,2019,11,Saturday
2019-11-17,1135.0,48690.9241,2019,11,Sunday
2019-11-18,626.0,22903.1215,2019,11,Monday
2019-11-19,694.0,24686.4555,2019,11,Tuesday
2019-11-20,884.0,32408.5643,2019,11,Wednesday
2019-11-21,866.0,31397.8294,2019,11,Thursday
2019-11-22,1234.0,47287.9631,2019,11,Friday
2019-11-23,1409.0,55305.4908,2019,11,Saturday
2019-11-24,1056.0,43428.6433,2019,11,Sunday
2019-11-25,628.0,23427.2185,2019,11,Monday
2019-11-26,744.0,27116.9192,2019,11,Tuesday
2019-11-27,735.0,27810.4701,2019,11,Wednesday
2019-11-28,777.0,29320.1503,2019,11,Thursday
2019-11-29,1179.0,45973.3015,2019,11,Friday
2019-11-30,1344.0,56993.3805,2019,11,Saturday
2019-12-01,942.0,39202.1252,2019,12,Sunday
2019-12-02,666.0,24066.9555,2019,12,Monday
2019-12-03,694.0,24156.7417,2019,12,Tuesday
2019-12-04,643.0,23703.722,2019,12,Wednesday
2019-12-05,682.0,26020.4042,2019,12,Thursday
2019-12-06,1118.0,40234.2122,2019,12,Friday
2019-12-07,1222.0,50738.7846,2019,12,Saturday
2019-12-08,939.0,39398.7132,2019,12,Sunday
2019-12-09,609.0,22214.6505,2019,12,Monday
2019-12-10,871.0,29052.072,2019,12,Tuesday
2019-12-11,716.0,26951.554,2019,12,Wednesday
2019-12-12,735.0,27365.5452,2019,12,Thursday
2019-12-13,1103.0,41110.3917,2019,12,Friday
2019-12-14,1303.0,56513.350600000005,2019,12,Saturday
