data,S_R5,LT_R5,Anno,Mese,day_of_week
2018-09-01,1158.0,46703.5681,2018,9,Saturday
2018-09-02,974.0,37350.8527,2018,9,Sunday
2018-09-03,808.0,27135.5042,2018,9,Monday
2018-09-04,731.0,25410.8575,2018,9,Tuesday
2018-09-05,760.0,25916.163,2018,9,Wednesday
2018-09-06,741.0,26927.3935,2018,9,Thursday
2018-09-07,897.0,35253.969099999995,2018,9,Friday
2018-09-08,1066.0,42694.4119,2018,9,Saturday
2018-09-09,921.0,37097.312,2018,9,Sunday
2018-09-10,784.0,29715.4326,2018,9,Monday
2018-09-11,806.0,29383.2567,2018,9,Tuesday
2018-09-12,804.0,28206.8675,2018,9,Wednesday
2018-09-13,778.0,25309.053,2018,9,Thursday
2018-09-14,931.0,34883.4668,2018,9,Friday
2018-09-15,1056.0,42332.5,2018,9,Saturday
2018-09-16,940.0,34234.478599999995,2018,9,Sunday
2018-09-17,724.0,25256.7259,2018,9,Monday
2018-09-18,674.0,23591.8816,2018,9,Tuesday
2018-09-19,694.0,24206.9212,2018,9,Wednesday
2018-09-20,928.0,28025.1475,2018,9,Thursday
2018-09-21,1066.0,37750.265,2018,9,Friday
2018-09-22,1138.0,44276.3258,2018,9,Saturday
2018-09-23,926.0,34114.5434,2018,9,Sunday
2018-09-24,749.0,24654.6132,2018,9,Monday
2018-09-25,759.0,22121.8081,2018,9,Tuesday
2018-09-26,742.0,24390.9953,2018,9,Wednesday
2018-09-27,790.0,23874.3736,2018,9,Thursday
2018-09-28,1083.0,35966.600600000005,2018,9,Friday
2018-09-29,1263.0,44247.911400000005,2018,9,Saturday
2018-09-30,955.0,36464.183,2018,9,Sunday
2018-10-01,707.0,23871.8543,2018,10,Monday
2018-10-02,675.0,21244.72,2018,10,Tuesday
2018-10-03,723.0,25117.008,2018,10,Wednesday
2018-10-04,714.0,24659.7344,2018,10,Thursday
2018-10-05,993.0,35955.6974,2018,10,Friday
2018-10-06,1098.0,42608.797,2018,10,Saturday
2018-10-07,864.0,34090.4655,2018,10,Sunday
2018-10-08,673.0,21602.1302,2018,10,Monday
2018-10-09,633.0,21484.7969,2018,10,Tuesday
2018-10-10,684.0,23097.7271,2018,10,Wednesday
2018-10-11,773.0,27460.9069,2018,10,Thursday
2018-10-12,987.0,34463.3632,2018,10,Friday
2018-10-13,1195.0,45933.4883,2018,10,Saturday
2018-10-14,919.0,36520.1032,2018,10,Sunday
2018-10-15,657.0,22984.4412,2018,10,Monday
2018-10-16,700.0,23368.8616,2018,10,Tuesday
2018-10-17,671.0,22674.0304,2018,10,Wednesday
2018-10-18,737.0,26137.531,2018,10,Thursday
2018-10-19,975.0,35856.8665,2018,10,Friday
2018-10-20,1206.0,46439.4959,2018,10,Saturday
2018-10-21,842.0,33395.593,2018,10,Sunday
2018-10-22,672.0,22940.6632,2018,10,Monday
2018-10-23,696.0,25425.106,2018,10,Tuesday
2018-10-24,712.0,23454.1048,2018,10,Wednesday
2018-10-25,755.0,26191.7579,2018,10,Thursday
2018-10-26,955.0,33661.8128,2018,10,Friday
2018-10-27,1114.0,42571.5031,2018,10,Saturday
2018-10-28,919.0,36902.376,2018,10,Sunday
2018-10-29,606.0,21395.7954,2018,10,Monday
2018-10-30,684.0,24630.2049,2018,10,Tuesday
2018-10-31,1153.0,41473.2122,2018,10,Wednesday
2018-11-01,812.0,32407.4492,2018,11,Thursday
2018-11-02,1013.0,38419.1598,2018,11,Friday
2018-11-03,1051.0,41308.3839,2018,11,Saturday
2018-11-04,822.0,31334.5578,2018,11,Sunday
2018-11-05,583.0,20373.9921,2018,11,Monday
2018-11-06,618.0,22818.8695,2018,11,Tuesday
2018-11-07,617.0,21764.4805,2018,11,Wednesday
2018-11-08,664.0,22813.9548,2018,11,Thursday
2018-11-09,1055.0,37330.0375,2018,11,Friday
2018-11-10,1176.0,44354.4241,2018,11,Saturday
2018-11-11,898.0,35736.3531,2018,11,Sunday
2018-11-12,611.0,21006.5429,2018,11,Monday
2018-11-13,654.0,22538.8968,2018,11,Tuesday
2018-11-14,688.0,24698.9281,2018,11,Wednesday
2018-11-15,704.0,26197.0856,2018,11,Thursday
2018-11-16,999.0,39289.1856,2018,11,Friday
2018-11-17,1162.0,46408.81,2018,11,Saturday
2018-11-18,902.0,35270.1587,2018,11,Sunday
2018-11-19,683.0,22499.7444,2018,11,Monday
2018-11-20,734.0,24885.315,2018,11,Tuesday
2018-11-21,741.0,23973.824,2018,11,Wednesday
