data,S_R2,LT_R2,Anno,Mese,day_of_week
2018-09-01,1238.0,58917.8366,2018,9,Saturday
2018-09-02,971.0,48995.3464,2018,9,Sunday
2018-09-03,782.0,36185.5732,2018,9,Monday
2018-09-04,793.0,36402.4808,2018,9,Tuesday
2018-09-05,758.0,33679.406599999995,2018,9,Wednesday
2018-09-06,827.0,37567.306,2018,9,Thursday
2018-09-07,953.0,41622.8421,2018,9,Friday
2018-09-08,1185.0,54534.3785,2018,9,Saturday
2018-09-09,850.0,42430.6701,2018,9,Sunday
2018-09-10,850.0,38455.0908,2018,9,Monday
2018-09-11,848.0,37990.4245,2018,9,Tuesday
2018-09-12,856.0,36964.5325,2018,9,Wednesday
2018-09-13,898.0,39871.59819999999,2018,9,Thursday
2018-09-14,1162.0,52439.8903,2018,9,Friday
2018-09-15,1230.0,59577.8932,2018,9,Saturday
2018-09-16,992.0,49121.9309,2018,9,Sunday
2018-09-17,869.0,41496.2576,2018,9,Monday
2018-09-18,761.0,34121.440500000004,2018,9,Tuesday
2018-09-19,759.0,33312.4974,2018,9,Wednesday
2018-09-20,965.0,38483.0509,2018,9,Thursday
2018-09-21,1089.0,47600.5215,2018,9,Friday
2018-09-22,1227.0,59328.5651,2018,9,Saturday
2018-09-23,1039.0,49248.7632,2018,9,Sunday
2018-09-24,699.0,29868.4078,2018,9,Monday
2018-09-25,713.0,30552.914,2018,9,Tuesday
2018-09-26,845.0,35742.8372,2018,9,Wednesday
2018-09-27,778.0,33794.7988,2018,9,Thursday
2018-09-28,1112.0,49167.15439999999,2018,9,Friday
2018-09-29,1321.0,61477.0737,2018,9,Saturday
2018-09-30,935.0,46204.58149999999,2018,9,Sunday
2018-10-01,671.0,30347.5704,2018,10,Monday
2018-10-02,711.0,31602.0166,2018,10,Tuesday
2018-10-03,753.0,34999.6437,2018,10,Wednesday
2018-10-04,792.0,35051.3513,2018,10,Thursday
2018-10-05,1122.0,49468.6031,2018,10,Friday
2018-10-06,1250.0,59069.9858,2018,10,Saturday
2018-10-07,959.0,47247.613,2018,10,Sunday
2018-10-08,731.0,30854.3627,2018,10,Monday
2018-10-09,736.0,31897.8072,2018,10,Tuesday
2018-10-10,762.0,34808.1356,2018,10,Wednesday
2018-10-11,763.0,34426.1106,2018,10,Thursday
2018-10-12,1176.0,53619.8313,2018,10,Friday
2018-10-13,1351.0,67660.5097,2018,10,Saturday
2018-10-14,945.0,50705.9511,2018,10,Sunday
2018-10-15,716.0,31674.7459,2018,10,Monday
2018-10-16,730.0,31438.3447,2018,10,Tuesday
2018-10-17,795.0,36022.8925,2018,10,Wednesday
2018-10-18,761.0,34219.1563,2018,10,Thursday
2018-10-19,1158.0,51381.2887,2018,10,Friday
2018-10-20,1358.0,64825.1408,2018,10,Saturday
2018-10-21,984.0,51474.9158,2018,10,Sunday
2018-10-22,710.0,30670.9494,2018,10,Monday
2018-10-23,771.0,32853.737,2018,10,Tuesday
2018-10-24,756.0,34776.871499999994,2018,10,Wednesday
2018-10-25,722.0,33127.8038,2018,10,Thursday
2018-10-26,1124.0,49527.373,2018,10,Friday
2018-10-27,1007.0,58963.4318,2018,10,Saturday
2018-10-28,857.0,44518.922,2018,10,Sunday
2018-10-29,630.0,28309.1263,2018,10,Monday
2018-10-30,697.0,31576.5345,2018,10,Tuesday
2018-10-31,1111.0,53065.502700000005,2018,10,Wednesday
2018-11-01,1042.0,52540.2493,2018,11,Thursday
2018-11-02,1092.0,49512.6702,2018,11,Friday
2018-11-03,1236.0,57958.8919,2018,11,Saturday
2018-11-04,935.0,47592.1376,2018,11,Sunday
2018-11-05,633.0,29114.022,2018,11,Monday
2018-11-06,710.0,32968.6749,2018,11,Tuesday
2018-11-07,735.0,32757.3015,2018,11,Wednesday
2018-11-08,785.0,35537.2045,2018,11,Thursday
2018-11-09,1106.0,49788.0586,2018,11,Friday
2018-11-10,1395.0,66459.8774,2018,11,Saturday
2018-11-11,1008.0,50246.9842,2018,11,Sunday
2018-11-12,728.0,32472.4554,2018,11,Monday
2018-11-13,824.0,38109.6989,2018,11,Tuesday
2018-11-14,808.0,35287.7525,2018,11,Wednesday
2018-11-15,768.0,34986.84069999999,2018,11,Thursday
2018-11-16,1161.0,55063.8445,2018,11,Friday
2018-11-17,1321.0,65447.3253,2018,11,Saturday
2018-11-18,925.0,51554.211800000005,2018,11,Sunday
2018-11-19,698.0,30296.7714,2018,11,Monday
2018-11-20,756.0,34636.410200000006,2018,11,Tuesday
2018-11-21,778.0,33960.99,2018,11,Wednesday
2018-11-22,822.0,36710.9505,2018,11,Thursday
2018-11-23,1112.0,53312.1463,2018,11,Friday
2018-11-24,1372.0,66806.1779,2018,11,Saturday
2018-11-25,1031.0,54437.7365,2018,11,Sunday
2018-11-26,627.0,29566.1744,2018,11,Monday
2018-11-27,724.0,32714.7212,2018,11,Tuesday
2018-11-28,754.0,35161.8701,2018,11,Wednesday
2018-11-29,738.0,35148.6541,2018,11,Thursday
2018-11-30,1138.0,51903.8989,2018,11,Friday
2018-12-01,1510.0,70014.32059999999,2018,12,Saturday
2018-12-02,968.0,51518.5699,2018,12,Sunday
2018-12-03,703.0,30642.2046,2018,12,Monday
2018-12-04,794.0,33324.1027,2018,12,Tuesday
2018-12-05,830.0,38734.2375,2018,12,Wednesday
2018-12-06,995.0,41824.3861,2018,12,Thursday
2018-12-07,1224.0,55209.2618,2018,12,Friday
2018-12-08,1266.0,63570.7359,2018,12,Saturday
2018-12-09,980.0,52030.0704,2018,12,Sunday
2018-12-10,835.0,36767.8206,2018,12,Monday
2018-12-11,750.0,33349.9978,2018,12,Tuesday
2018-12-12,813.0,35959.5796,2018,12,Wednesday
2018-12-13,810.0,37647.9649,2018,12,Thursday
2018-12-14,1129.0,50453.8972,2018,12,Friday
2018-12-15,1368.0,69252.12909999999,2018,12,Saturday
2018-12-16,911.0,49375.9672,2018,12,Sunday
2018-12-17,762.0,35440.4799,2018,12,Monday
2018-12-18,821.0,36038.5039,2018,12,Tuesday
2018-12-19,853.0,38974.6861,2018,12,Wednesday
2018-12-20,989.0,44482.0824,2018,12,Thursday
2018-12-21,1158.0,54307.5589,2018,12,Friday
2018-12-22,1341.0,67967.78169999999,2018,12,Saturday
2018-12-23,951.0,48940.70649999999,2018,12,Sunday
2018-12-24,298.0,17049.6725,2018,12,Monday
2018-12-25,488.0,23024.5435,2018,12,Tuesday
2018-12-26,898.0,45902.5546,2018,12,Wednesday
2018-12-27,870.0,43492.7822,2018,12,Thursday
2018-12-28,1128.0,54696.8527,2018,12,Friday
2018-12-29,1178.0,59739.2936,2018,12,Saturday
2018-12-30,942.0,50670.97,2018,12,Sunday
2018-12-31,315.0,17649.8854,2018,12,Monday
2019-01-01,1134.0,65527.7777,2019,1,Tuesday
2019-01-02,819.0,42477.0913,2019,1,Wednesday
2019-01-03,903.0,44872.1609,2019,1,Thursday
2019-01-04,1094.0,54152.8491,2019,1,Friday
2019-01-05,1313.0,68424.188,2019,1,Saturday
2019-01-06,895.0,49731.0646,2019,1,Sunday
2019-01-07,652.0,29711.1374,2019,1,Monday
2019-01-08,594.0,27907.4425,2019,1,Tuesday
2019-01-09,715.0,33511.1091,2019,1,Wednesday
2019-01-10,793.0,35792.892799999994,2019,1,Thursday
2019-01-11,1142.0,53687.522,2019,1,Friday
2019-01-12,1313.0,69094.9826,2019,1,Saturday
2019-01-13,961.0,53121.5468,2019,1,Sunday
2019-01-14,720.0,33767.7473,2019,1,Monday
2019-01-15,811.0,37429.2814,2019,1,Tuesday
2019-01-16,794.0,38148.0666,2019,1,Wednesday
2019-01-17,833.0,40118.7374,2019,1,Thursday
2019-01-18,1231.0,58740.8248,2019,1,Friday
2019-01-19,1299.0,65473.09649999999,2019,1,Saturday
2019-01-20,926.0,51778.8838,2019,1,Sunday
2019-01-21,656.0,33691.3423,2019,1,Monday
2019-01-22,676.0,30202.0292,2019,1,Tuesday
2019-01-23,677.0,32776.5886,2019,1,Wednesday
2019-01-24,914.0,42311.1479,2019,1,Thursday
2019-01-25,1141.0,52504.5661,2019,1,Friday
2019-01-26,1322.0,66020.8584,2019,1,Saturday
2019-01-27,873.0,46916.4696,2019,1,Sunday
2019-01-28,708.0,33959.8336,2019,1,Monday
2019-01-29,678.0,30963.5599,2019,1,Tuesday
2019-01-30,679.0,30711.506,2019,1,Wednesday
2019-01-31,700.0,33497.9757,2019,1,Thursday
2019-02-01,1032.0,52740.2652,2019,2,Friday
2019-02-02,1322.0,66742.1216,2019,2,Saturday
2019-02-03,967.0,51618.8463,2019,2,Sunday
2019-02-04,709.0,31861.3806,2019,2,Monday
2019-02-05,686.0,31048.4314,2019,2,Tuesday
2019-02-06,734.0,33797.772399999994,2019,2,Wednesday
2019-02-07,753.0,35976.306099999994,2019,2,Thursday
2019-02-08,1197.0,55249.6945,2019,2,Friday
2019-02-09,1205.0,58786.5026,2019,2,Saturday
2019-02-10,901.0,49070.9254,2019,2,Sunday
2019-02-11,740.0,33746.147399999994,2019,2,Monday
2019-02-12,720.0,31106.0036,2019,2,Tuesday
2019-02-13,819.0,37831.6673,2019,2,Wednesday
2019-02-14,947.0,45773.1617,2019,2,Thursday
2019-02-15,1187.0,55939.7349,2019,2,Friday
2019-02-16,1283.0,63202.4638,2019,2,Saturday
2019-02-17,1015.0,54748.2299,2019,2,Sunday
2019-02-18,747.0,33157.7463,2019,2,Monday
2019-02-19,751.0,32734.2148,2019,2,Tuesday
2019-02-20,791.0,37338.50399999999,2019,2,Wednesday
2019-02-21,887.0,38315.7859,2019,2,Thursday
2019-02-22,1195.0,56370.7417,2019,2,Friday
2019-02-23,1321.0,66772.7662,2019,2,Saturday
2019-02-24,996.0,55568.32399999999,2019,2,Sunday
2019-02-25,728.0,34075.391,2019,2,Monday
2019-02-26,722.0,31380.2769,2019,2,Tuesday
2019-02-27,776.0,35335.7018,2019,2,Wednesday
2019-02-28,861.0,39538.1007,2019,2,Thursday
2019-03-01,1279.0,58799.966400000005,2019,3,Friday
2019-03-02,1285.0,63689.1017,2019,3,Saturday
2019-03-03,953.0,51156.2863,2019,3,Sunday
2019-03-04,722.0,30781.5921,2019,3,Monday
2019-03-05,768.0,33536.426,2019,3,Tuesday
2019-03-06,732.0,31909.1647,2019,3,Wednesday
2019-03-07,822.0,36523.7376,2019,3,Thursday
2019-03-08,1185.0,54802.6633,2019,3,Friday
2019-03-09,1313.0,62290.2294,2019,3,Saturday
2019-03-10,1008.0,54982.5661,2019,3,Sunday
2019-03-11,660.0,29113.196,2019,3,Monday
2019-03-12,721.0,32175.4258,2019,3,Tuesday
2019-03-13,756.0,34550.2997,2019,3,Wednesday
2019-03-14,811.0,36929.5101,2019,3,Thursday
2019-03-15,1164.0,49957.5951,2019,3,Friday
2019-03-16,1379.0,67886.4207,2019,3,Saturday
2019-03-17,1098.0,59376.3905,2019,3,Sunday
2019-03-18,774.0,35668.24939999999,2019,3,Monday
2019-03-19,745.0,34280.7346,2019,3,Tuesday
2019-03-20,824.0,36541.0423,2019,3,Wednesday
2019-03-21,818.0,38390.9932,2019,3,Thursday
2019-03-22,1124.0,49714.9163,2019,3,Friday
2019-03-23,1294.0,64942.2263,2019,3,Saturday
2019-03-24,963.0,48558.35109999999,2019,3,Sunday
2019-03-25,700.0,30546.5125,2019,3,Monday
2019-03-26,683.0,29694.7826,2019,3,Tuesday
2019-03-27,765.0,33711.2489,2019,3,Wednesday
2019-03-28,969.0,41982.3173,2019,3,Thursday
2019-03-29,1141.0,51307.9812,2019,3,Friday
2019-03-30,1320.0,61036.3201,2019,3,Saturday
2019-03-31,995.0,51578.8266,2019,3,Sunday
2019-04-01,764.0,33630.4248,2019,4,Monday
2019-04-02,736.0,32984.3689,2019,4,Tuesday
2019-04-03,814.0,35983.9053,2019,4,Wednesday
2019-04-04,847.0,37433.9483,2019,4,Thursday
2019-04-05,1236.0,52523.0685,2019,4,Friday
2019-04-06,1309.0,60788.7679,2019,4,Saturday
2019-04-07,1096.0,54125.8389,2019,4,Sunday
2019-04-08,734.0,30488.9403,2019,4,Monday
2019-04-09,793.0,34339.298,2019,4,Tuesday
2019-04-10,777.0,34212.9613,2019,4,Wednesday
2019-04-11,850.0,39443.7715,2019,4,Thursday
2019-04-12,1174.0,52061.8714,2019,4,Friday
2019-04-13,1387.0,69265.7994,2019,4,Saturday
2019-04-14,1005.0,53336.7611,2019,4,Sunday
2019-04-15,779.0,35287.58729999999,2019,4,Monday
2019-04-16,770.0,34006.543900000004,2019,4,Tuesday
2019-04-17,937.0,41848.3814,2019,4,Wednesday
2019-04-18,1141.0,48814.8241,2019,4,Thursday
2019-04-19,1181.0,52525.3813,2019,4,Friday
2019-04-20,1248.0,57119.8411,2019,4,Saturday
2019-04-21,564.0,26861.107,2019,4,Sunday
2019-04-22,941.0,46318.52819999999,2019,4,Monday
2019-04-23,892.0,44204.216,2019,4,Tuesday
2019-04-24,1023.0,47320.0945,2019,4,Wednesday
2019-04-25,1020.0,51436.1764,2019,4,Thursday
2019-04-26,1157.0,49932.526000000005,2019,4,Friday
2019-04-27,1314.0,61726.8561,2019,4,Saturday
2019-04-28,990.0,48323.1476,2019,4,Sunday
2019-04-29,764.0,30739.0118,2019,4,Monday
2019-04-30,996.0,44643.4828,2019,4,Tuesday
2019-05-01,970.0,48727.5985,2019,5,Wednesday
2019-05-02,773.0,32996.6763,2019,5,Thursday
2019-05-03,1185.0,51366.462,2019,5,Friday
2019-05-04,1360.0,63926.8658,2019,5,Saturday
2019-05-05,958.0,45003.1645,2019,5,Sunday
2019-05-06,845.0,35527.5816,2019,5,Monday
2019-05-07,807.0,34966.438500000004,2019,5,Tuesday
2019-05-08,803.0,35552.7746,2019,5,Wednesday
2019-05-09,828.0,36809.3684,2019,5,Thursday
2019-05-10,1221.0,54778.0485,2019,5,Friday
2019-05-11,1150.0,63890.0262,2019,5,Saturday
2019-05-12,976.0,48983.865,2019,5,Sunday
2019-05-13,757.0,32934.9328,2019,5,Monday
2019-05-14,794.0,34004.272399999994,2019,5,Tuesday
2019-05-15,867.0,40930.6541,2019,5,Wednesday
2019-05-16,1044.0,38230.2536,2019,5,Thursday
2019-05-17,1228.0,56134.547,2019,5,Friday
2019-05-18,1364.0,64353.7013,2019,5,Saturday
2019-05-19,1036.0,51210.2241,2019,5,Sunday
2019-05-20,776.0,34272.350699999995,2019,5,Monday
2019-05-21,817.0,35763.4459,2019,5,Tuesday
2019-05-22,806.0,35126.8064,2019,5,Wednesday
2019-05-23,922.0,39871.7634,2019,5,Thursday
2019-05-24,1222.0,51025.0762,2019,5,Friday
2019-05-25,1402.0,67049.5175,2019,5,Saturday
2019-05-26,1087.0,54824.841400000005,2019,5,Sunday
2019-05-27,829.0,36015.4998,2019,5,Monday
2019-05-28,733.0,30657.0313,2019,5,Tuesday
2019-05-29,757.0,33107.4016,2019,5,Wednesday
2019-05-30,838.0,38372.0365,2019,5,Thursday
2019-05-31,1226.0,53660.8422,2019,5,Friday
2019-06-01,1327.0,61389.6416,2019,6,Saturday
2019-06-02,998.0,49286.3049,2019,6,Sunday
2019-06-03,723.0,30551.262,2019,6,Monday
2019-06-04,771.0,32127.4765,2019,6,Tuesday
2019-06-05,805.0,33943.1484,2019,6,Wednesday
2019-06-06,823.0,36865.8668,2019,6,Thursday
2019-06-07,1279.0,52704.0864,2019,6,Friday
